LOC,EDAD,PAV,ACE,NOR
grande,mayor,bueno,malo,alto
grande,joven,malo,malo,alto
grande,joven,bueno,malo,alto
grande,adulto,bueno,bueno,alto
grande,adulto,malo,bueno,alto
grande,adulto,malo,bueno,alto
grande,joven,bueno,malo,alto
grande,mayor,bueno,malo,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,joven,malo,bueno,bajo
grande,joven,bueno,malo,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,malo,bajo
grande,joven,bueno,malo,alto
grande,joven,malo,malo,bajo
grande,mayor,malo,bueno,bajo
grande,mayor,malo,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,joven,malo,malo,bajo
grande,mayor,malo,malo,bajo
grande,mayor,malo,malo,alto
grande,mayor,bueno,bueno,alto
grande,adulto,malo,malo,alto
grande,adulto,malo,malo,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,malo,bajo
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,mayor,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,adulto,malo,malo,bajo
chica,adulto,malo,malo,alto
chica,joven,malo,bueno,bajo
chica,mayor,bueno,malo,bajo
chica,adulto,bueno,bueno,bajo
chica,mayor,bueno,bueno,bajo
chica,mayor,bueno,malo,bajo
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,adulto,malo,malo,alto
chica,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,adulto,malo,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,malo,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
grande,mayor,malo,malo,alto
grande,adulto,bueno,bueno,alto
chica,adulto,bueno,malo,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,malo,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,malo,bajo
chica,adulto,bueno,bueno,alto
chica,joven,malo,malo,alto
chica,adulto,bueno,malo,bajo
chica,joven,bueno,malo,alto
chica,joven,bueno,malo,alto
grande,joven,malo,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,malo,alto
chica,mayor,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,malo,bueno,bajo
chica,joven,bueno,malo,alto
chica,joven,bueno,bueno,alto
chica,mayor,bueno,malo,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,malo,alto
chica,joven,bueno,malo,alto
chica,adulto,bueno,bueno,alto
chica,adulto,bueno,malo,alto
chica,joven,bueno,bueno,alto
chica,adulto,malo,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,malo,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
chica,joven,malo,bueno,alto
chica,joven,bueno,bueno,alto
grande,joven,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,mayor,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,malo,bajo
chica,mayor,bueno,bueno,alto
grande,joven,malo,malo,alto
grande,adulto,bueno,bueno,bajo
chica,adulto,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,malo,bajo
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
chica,adulto,bueno,bueno,alto
chica,joven,bueno,malo,bajo
chica,joven,bueno,bueno,alto
chica,adulto,bueno,malo,alto
chica,adulto,bueno,malo,alto
chica,adulto,bueno,bueno,alto
chica,mayor,bueno,malo,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,malo,bajo
grande,mayor,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,malo,malo,alto
grande,mayor,bueno,bueno,alto
grande,mayor,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,malo,alto
grande,joven,bueno,malo,bajo
grande,mayor,malo,malo,alto
grande,joven,malo,bueno,alto
chica,joven,malo,malo,alto
chica,joven,malo,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,mayor,bueno,bueno,bajo
chica,mayor,bueno,bueno,bajo
chica,mayor,bueno,bueno,bajo
chica,adulto,malo,malo,bajo
chica,joven,bueno,bueno,bajo
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,mayor,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,malo,alto
chica,mayor,bueno,malo,bajo
grande,mayor,bueno,bueno,bajo
grande,mayor,malo,malo,alto
grande,mayor,malo,malo,alto
grande,joven,malo,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,malo,malo,alto
chica,mayor,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,malo,alto
chica,mayor,malo,malo,alto
chica,mayor,bueno,malo,bajo
grande,joven,bueno,malo,bajo
chica,joven,bueno,malo,alto
grande,adulto,malo,malo,bajo
grande,mayor,bueno,malo,bajo
grande,joven,bueno,malo,bajo
chica,joven,bueno,bueno,alto
chica,adulto,bueno,malo,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,malo,malo,bajo
grande,joven,bueno,bueno,bajo
grande,adulto,malo,bueno,bajo
chica,joven,malo,malo,bajo
chica,mayor,malo,malo,bajo
chica,adulto,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,mayor,malo,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,malo,malo,bajo
chica,adulto,malo,bueno,alto
chica,adulto,malo,bueno,alto
chica,joven,bueno,bueno,bajo
chica,mayor,malo,bueno,bajo
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,mayor,bueno,bueno,alto
chica,mayor,malo,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,mayor,bueno,bueno,alto
chica,joven,malo,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,mayor,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
grande,adulto,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,malo,bueno,bajo
chica,adulto,bueno,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,bueno,bueno,bajo
grande,mayor,bueno,bueno,alto
chica,adulto,bueno,malo,alto
grande,joven,malo,bueno,alto
grande,adulto,bueno,malo,bajo
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,malo,alto
grande,adulto,malo,bueno,alto
grande,adulto,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,malo,bajo
grande,adulto,bueno,bueno,alto
chica,mayor,malo,bueno,alto
grande,mayor,bueno,bueno,bajo
chica,adulto,malo,malo,alto
grande,adulto,malo,malo,alto
chica,joven,malo,bueno,alto
grande,adulto,bueno,bueno,alto
grande,mayor,malo,malo,alto
chica,adulto,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,adulto,malo,malo,alto
grande,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,joven,malo,bueno,bajo
chica,joven,bueno,bueno,bajo
chica,joven,bueno,malo,alto
grande,adulto,bueno,bueno,alto
chica,mayor,malo,malo,alto
grande,adulto,bueno,malo,bajo
grande,joven,malo,malo,alto
grande,joven,malo,malo,bajo
grande,adulto,malo,bueno,bajo
grande,adulto,bueno,malo,alto
grande,mayor,malo,bueno,alto
grande,adulto,malo,malo,alto
grande,adulto,malo,malo,alto
chica,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
chica,joven,bueno,malo,alto
grande,mayor,malo,bueno,bajo
grande,mayor,malo,bueno,alto
grande,joven,bueno,malo,alto
chica,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,malo,malo,alto
chica,joven,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,joven,malo,malo,bajo
chica,joven,bueno,malo,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,adulto,malo,malo,bajo
chica,adulto,bueno,malo,alto
grande,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,adulto,malo,bueno,alto
grande,joven,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,malo,bueno,alto
chica,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
chica,joven,bueno,malo,bajo
grande,mayor,bueno,malo,bajo
grande,adulto,bueno,malo,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,adulto,malo,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,malo,alto
grande,adulto,malo,bueno,alto
chica,joven,bueno,bueno,alto
grande,joven,malo,malo,alto
grande,joven,malo,malo,alto
grande,mayor,malo,malo,alto
grande,joven,bueno,bueno,alto
chica,adulto,malo,malo,alto
chica,mayor,bueno,bueno,bajo
grande,mayor,malo,malo,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,malo,malo,alto
chica,adulto,malo,malo,alto
grande,adulto,bueno,bueno,bajo
grande,mayor,bueno,bueno,bajo
chica,adulto,malo,malo,alto
grande,joven,malo,bueno,bajo
grande,adulto,malo,malo,alto
grande,mayor,malo,malo,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,malo,bueno,alto
chica,joven,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
chica,adulto,malo,malo,bajo
chica,adulto,malo,malo,alto
grande,adulto,malo,bueno,alto
chica,joven,malo,malo,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,bueno,malo,bajo
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,malo,malo,alto
chica,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
grande,adulto,malo,malo,alto
grande,joven,malo,bueno,alto
chica,adulto,bueno,malo,alto
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,mayor,bueno,malo,alto
grande,mayor,bueno,malo,alto
chica,joven,bueno,bueno,bajo
chica,joven,malo,malo,alto
grande,adulto,malo,malo,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,bueno,malo,alto
grande,mayor,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,joven,malo,malo,alto
grande,adulto,malo,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,malo,bueno,alto
grande,joven,malo,malo,bajo
grande,joven,malo,malo,bajo
grande,mayor,malo,bueno,bajo
grande,adulto,malo,malo,bajo
grande,joven,malo,bueno,bajo
grande,adulto,malo,malo,alto
grande,joven,malo,malo,bajo
grande,joven,bueno,malo,bajo
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,malo,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,adulto,malo,malo,bajo
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,adulto,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,joven,malo,bueno,alto
grande,adulto,malo,malo,bajo
grande,adulto,malo,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,bajo
grande,adulto,malo,malo,alto
chica,adulto,bueno,bueno,alto
chica,joven,malo,malo,alto
chica,joven,malo,malo,bajo
chica,adulto,malo,malo,bajo
chica,adulto,bueno,bueno,bajo
chica,adulto,malo,malo,alto
chica,joven,malo,malo,alto
chica,adulto,bueno,bueno,alto
chica,mayor,malo,malo,bajo
chica,joven,bueno,bueno,alto
chica,mayor,bueno,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,joven,malo,malo,alto
grande,joven,bueno,bueno,alto
grande,mayor,malo,malo,bajo
grande,joven,malo,malo,bajo
grande,adulto,malo,malo,alto
grande,joven,malo,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,malo,bajo
grande,joven,bueno,bueno,alto
grande,mayor,bueno,malo,bajo
grande,joven,bueno,bueno,bajo
chica,mayor,malo,bueno,bajo
chica,adulto,bueno,malo,alto
grande,adulto,malo,bueno,bajo
grande,adulto,bueno,bueno,alto
grande,joven,malo,malo,alto
grande,adulto,bueno,malo,bajo
grande,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,adulto,malo,malo,bajo
chica,adulto,malo,malo,alto
chica,joven,bueno,malo,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,malo,bajo
chica,adulto,malo,bueno,bajo
chica,joven,bueno,malo,alto
chica,joven,bueno,malo,alto
grande,joven,malo,bueno,bajo
grande,adulto,malo,malo,alto
grande,mayor,malo,malo,alto
grande,adulto,malo,malo,bajo
grande,joven,malo,malo,alto
grande,joven,malo,bueno,alto
grande,mayor,malo,malo,alto
grande,adulto,malo,malo,bajo
grande,mayor,bueno,bueno,alto
grande,adulto,malo,malo,alto
chica,mayor,bueno,malo,bajo
chica,adulto,bueno,malo,alto
grande,adulto,malo,bueno,bajo
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,malo,bajo
grande,joven,malo,malo,alto
grande,joven,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,adulto,bueno,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,mayor,bueno,bueno,bajo
grande,adulto,bueno,bueno,alto
chica,adulto,malo,bueno,alto
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,malo,malo,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,adulto,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,malo,malo,alto
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,bajo
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,alto
chica,joven,bueno,bueno,bajo
chica,adulto,bueno,bueno,alto
grande,adulto,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,mayor,malo,bueno,bajo
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
grande,joven,bueno,bueno,alto
chica,joven,malo,malo,bajo
chica,joven,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,adulto,bueno,bueno,alto
grande,mayor,bueno,bueno,alto
grande,mayor,malo,malo,bajo
grande,joven,bueno,bueno,alto
grande,mayor,bueno,bueno,bajo
chica,adulto,bueno,malo,bajo
grande,adulto,bueno,malo,bajo
chica,adulto,malo,malo,alto
chica,mayor,malo,malo,alto
chica,mayor,malo,malo,alto
chica,mayor,bueno,bueno,alto
chica,adulto,malo,malo,bajo
grande,joven,malo,malo,alto
grande,joven,malo,bueno,alto
grande,joven,malo,bueno,bajo
grande,mayor,malo,malo,alto
grande,adulto,malo,bueno,alto
chica,adulto,bueno,bueno,alto
chica,adulto,bueno,bueno,bajo
chica,mayor,bueno,malo,bajo
grande,joven,malo,malo,alto
grande,joven,malo,malo,bajo
grande,adulto,bueno,bueno,bajo
grande,adulto,malo,malo,bajo
grande,joven,malo,malo,alto
